iter	Passed	Remaining
747	4358	1468
748	4363	1462
749	4369	1456
750	4374	1450
751	4379	1444
752	4384	1438
753	4390	1432
754	4395	1426
755	4400	1420
756	4405	1414
757	4411	1408
758	4416	1402
759	4421	1396
760	4426	1390
761	4431	1384
762	4436	1378
763	4442	1372
764	4447	1366
765	4452	1360
766	4458	1354
767	4464	1348
768	4470	1342
769	4475	1336
770	4482	1331
771	4488	1325
772	4495	1320
773	4500	1313
774	4505	1307
775	4510	1301
776	4515	1296
777	4521	1290
778	4526	1284
779	4532	1278
780	4537	1272
781	4543	1266
782	4548	1260
783	4553	1254
784	4559	1248
785	4564	1242
786	4570	1236
787	4575	1231
788	4582	1225
789	4588	1219
790	4593	1213
791	4599	1207
792	4604	1201
793	4610	1196
794	4614	1190
795	4620	1184
796	4625	1178
797	4630	1172
798	4635	1166
799	4641	1160
800	4645	1154
801	4651	1148
802	4657	1142
803	4662	1136
804	4668	1130
805	4674	1125
806	4680	1119
807	4685	1113
808	4690	1107
809	4695	1101
810	4701	1095
811	4706	1089
812	4711	1083
813	4717	1077
814	4722	1072
815	4728	1066
816	4733	1060
817	4738	1054
818	4743	1048
819	4749	1042
820	4754	1036
821	4760	1030
822	4770	1025
823	4776	1020
824	4782	1014
825	4787	1008
826	4793	1002
827	4799	997
828	4806	991
829	4812	985
830	4817	979
831	4830	975
832	4835	969
833	4840	963
834	4846	957
835	4851	951
836	4857	945
837	4863	940
838	4868	934
839	4874	928
840	4880	922
841	4885	916
842	4891	910
843	4896	905
844	4902	899
845	4907	893
846	4912	887
847	4918	881
848	4923	875
849	4929	869
850	4934	863
851	4939	858
852	4949	852
853	4955	847
854	4962	841
855	4968	835
856	4975	830
857	4981	824
858	4986	818
859	5007	815
860	5012	809
861	5017	803
862	5023	797
863	5028	791
864	5034	785
865	5040	779
866	5045	773
867	5050	768
868	5057	762
869	5062	756
870	5068	750
871	5075	744
872	5080	739
873	5086	733
874	5091	727
875	5097	721
876	5103	715
877	5108	709
878	5114	704
879	5119	698
880	5124	692
881	5130	686
882	5135	680
883	5141	674
884	5148	668
885	5153	663
886	5158	657
887	5164	651
888	5169	645
889	5174	639
890	5179	633
891	5185	627
892	5190	621
893	5195	616
894	5200	610
895	5206	604
896	5211	598
897	5217	592
898	5222	586
899	5227	580
900	5233	575
901	5238	569
902	5244	563
903	5250	557
904	5257	551
905	5263	546
906	5269	540
907	5276	534
908	5282	528
909	5289	523
910	5295	517
911	5302	511
912	5309	505
913	5316	500
914	5323	494
915	5329	488
916	5336	482
917	5344	477
918	5351	471
919	5358	465
920	5364	460
921	5371	454
922	5378	448
923	5384	442
924	5391	437
925	5397	431
926	5404	425
927	5410	419
928	5420	414
929	5427	408
930	5433	402
931	5439	396
932	5446	391
933	5453	385
934	5459	379
935	5466	373
936	5473	367
937	5481	362
938	5492	356
939	5499	351
940	5505	345
941	5512	339
942	5518	333
943	5523	327
944	5528	321
945	5534	315
946	5540	310
947	5545	304
948	5550	298
949	5555	292
950	5560	286
951	5566	280
952	5571	274
953	5576	268
954	5581	263
955	5586	257
956	5591	251
957	5596	245
958	5602	239
959	5607	233
960	5612	227
961	5617	221
962	5622	216
963	5628	210
964	5633	204
965	5638	198
966	5644	192
967	5650	186
968	5655	180
969	5661	175
970	5667	169
971	5673	163
972	5678	157
973	5683	151
974	5688	145
975	5694	140
976	5699	134
977	5704	128
978	5709	122
979	5714	116
980	5720	110
981	5727	104
982	5732	99
983	5737	93
984	5742	87
985	5747	81
986	5753	75
987	5758	69
988	5763	64
989	5768	58
990	5773	52
991	5778	46
992	5785	40
993	5790	34
994	5795	29
995	5800	23
996	5806	17
997	5811	11
998	5816	5
999	5821	0
